Group,Date,Actual,TestForecast,DataType
Network Equipment,2021-03-01,12365873.89,,Train
Network Equipment,2021-04-01,11721156.28,,Train
Network Equipment,2021-05-01,2821292.74,,Train
Network Equipment,2021-06-01,16872687.97,,Train
Network Equipment,2021-07-01,8211234.1899999995,,Train
Network Equipment,2021-08-01,3157908.36,,Train
Network Equipment,2021-09-01,4978664.29,,Train
Network Equipment,2021-10-01,4741579.5200000005,,Train
Network Equipment,2021-11-01,3649371.69,,Train
Network Equipment,2021-12-01,12413802.82,,Train
Network Equipment,2022-01-01,2148942.73,,Train
Network Equipment,2022-02-01,4163452.77,,Train
Network Equipment,2022-03-01,4633754.28,,Train
Network Equipment,2022-04-01,4289438.86,,Train
Network Equipment,2022-05-01,9564845.43,,Train
Network Equipment,2022-06-01,10958679.15,,Train
Network Equipment,2022-07-01,15950684.14,,Train
Network Equipment,2022-08-01,20254686.5,,Train
Network Equipment,2022-09-01,6492333.22,,Train
Network Equipment,2022-10-01,16285017.11,,Train
Network Equipment,2022-11-01,8412044.78,,Train
Network Equipment,2022-12-01,5386580.43,,Train
Network Equipment,2023-01-01,13581417.78,,Train
Network Equipment,2023-02-01,4613244.95,,Train
Network Equipment,2023-03-01,9743689.82,,Train
Network Equipment,2023-04-01,3604407.53,,Train
Network Equipment,2023-05-01,5114263.92,,Train
Network Equipment,2023-06-01,23369012.57,,Train
Network Equipment,2023-07-01,9942096.94,,Train
Network Equipment,2023-08-01,5557752.88,,Train
Network Equipment,2023-09-01,7066640.53,,Train
Network Equipment,2023-10-01,809251.93,,Train
Network Equipment,2023-11-01,9425154.4,,Train
Network Equipment,2023-12-01,4450697.38,,Train
Network Equipment,2024-01-01,10670105.81,,Train
Network Equipment,2024-02-01,13444562.01,,Train
Network Equipment,2024-03-01,13168324.68,,Train
Network Equipment,2024-04-01,7411217.43,,Train
Network Equipment,2024-05-01,5431153.6899999995,,Train
Network Equipment,2024-06-01,6412974.7,8726931.069222113,Test
Network Equipment,2024-07-01,4251416.84,9347260.021486646,Test
Network Equipment,2024-08-01,6127950.68,10011683.284335867,Test
Network Equipment,2024-09-01,10128950.01,10723335.175810032,Test
Network Equipment,2024-10-01,5007909.899999999,11485572.80798883,Test
Network Equipment,2024-11-01,16464511.77,12301991.923669204,Test
Network Equipment,2024-12-01,7908818.96,13176443.858747508,Test
Network Equipment,2025-01-01,13505573.120000001,14113053.71032481,Test
Network Equipment,2025-02-01,4374623.93,15116239.796239316,Test
Network Equipment,2025-03-01,7568031.66,16190734.49782479,Test
Network Equipment,2025-04-01,22070020.46,17341606.584216077,Test
Network Equipment,2025-05-01,19854221.82,18574285.123514958,Test
Technical Services,2020-09-01,96030.95,,Train
Technical Services,2020-10-01,2058271.73,,Train
Technical Services,2020-11-01,1694425.49,,Train
Technical Services,2020-12-01,11853589.97,,Train
Technical Services,2021-01-01,1017439.1699999999,,Train
Technical Services,2021-02-01,3532917.06,,Train
Technical Services,2021-03-01,5440055.39,,Train
Technical Services,2021-04-01,5932594.13,,Train
Technical Services,2021-05-01,3927135.75,,Train
Technical Services,2021-06-01,31585907.33,,Train
Technical Services,2021-07-01,5890399.8,,Train
Technical Services,2021-08-01,3329820.91,,Train
Technical Services,2021-09-01,4025319.29,,Train
Technical Services,2021-10-01,4472282.68,,Train
Technical Services,2021-11-01,11114748.4,,Train
Technical Services,2021-12-01,4791910.14,,Train
Technical Services,2022-01-01,2656470.71,,Train
Technical Services,2022-02-01,9363652.81,,Train
Technical Services,2022-03-01,5528696.48,,Train
Technical Services,2022-04-01,4530196.35,,Train
Technical Services,2022-05-01,2795025.42,,Train
Technical Services,2022-06-01,13260978.379999999,,Train
Technical Services,2022-07-01,4155619.5,,Train
Technical Services,2022-08-01,5603455.13,,Train
Technical Services,2022-09-01,4639271.84,,Train
Technical Services,2022-10-01,2820414.06,,Train
Technical Services,2022-11-01,4877387.35,,Train
Technical Services,2022-12-01,7147033.95,,Train
Technical Services,2023-01-01,5540510.87,,Train
Technical Services,2023-02-01,3123809.9,,Train
Technical Services,2023-03-01,7210271.28,,Train
Technical Services,2023-04-01,3805378.96,,Train
Technical Services,2023-05-01,8508375.01,,Train
Technical Services,2023-06-01,5009404.81,,Train
Technical Services,2023-07-01,6356893.0200000005,,Train
Technical Services,2023-08-01,6252625.08,,Train
Technical Services,2023-09-01,5239790.36,,Train
Technical Services,2023-10-01,4099600.51,,Train
Technical Services,2023-11-01,5976227.92,,Train
Technical Services,2023-12-01,8520984.85,,Train
Technical Services,2024-01-01,8070490.91,,Train
Technical Services,2024-02-01,9745671.75,,Train
Technical Services,2024-03-01,10891768.58,,Train
Technical Services,2024-04-01,7350668.97,,Train
Technical Services,2024-05-01,8155550.74,,Train
Technical Services,2024-06-01,16781973.05,9778710.523392094,Test
Technical Services,2024-07-01,14344119.43,10311786.663383814,Test
Technical Services,2024-08-01,17637386.32,10873922.889605582,Test
Technical Services,2024-09-01,11396708.57,11466703.382155368,Test
Technical Services,2024-10-01,21055792.98,12091798.681046473,Test
Technical Services,2024-11-01,14332109.99,12750970.394027425,Test
Technical Services,2024-12-01,17817817.04,13446076.161044134,Test
Technical Services,2025-01-01,18299381.52,14179074.8893343,Test
Technical Services,2025-02-01,18314152.8,14952032.273907527,Test
Technical Services,2025-03-01,10732297.52,15767126.618968613,Test
Technical Services,2025-04-01,21236214.919999998,16626654.976689635,Test
Technical Services,2025-05-01,17521740.45,17533039.62063067,Test
Network Services,2020-10-01,1682861.04,,Train
Network Services,2020-11-01,1584713.5899999999,,Train
Network Services,2020-12-01,2499364.68,,Train
Network Services,2021-01-01,472353.56,,Train
Network Services,2021-02-01,631579.16,,Train
Network Services,2021-03-01,3485012.22,,Train
Network Services,2021-04-01,5429339.58,,Train
Network Services,2021-05-01,1711203.32,,Train
Network Services,2021-06-01,4177022.15,,Train
Network Services,2021-07-01,1875214.3599999999,,Train
Network Services,2021-08-01,2099420.13,,Train
Network Services,2021-09-01,2029973.6199999999,,Train
Network Services,2021-10-01,2903732.33,,Train
Network Services,2021-11-01,3413442.5900000003,,Train
Network Services,2021-12-01,5625150.45,,Train
Network Services,2022-01-01,2293458.29,,Train
Network Services,2022-02-01,2579122.0500000003,,Train
Network Services,2022-03-01,4675278.23,,Train
Network Services,2022-04-01,4913079.6,,Train
Network Services,2022-05-01,5758004.94,,Train
Network Services,2022-06-01,7047084.37,,Train
Network Services,2022-07-01,15119151.99,,Train
Network Services,2022-08-01,5573018.73,,Train
Network Services,2022-09-01,4899726.17,,Train
Network Services,2022-10-01,6832365.09,,Train
Network Services,2022-11-01,4586648.42,,Train
Network Services,2022-12-01,6412214.45,,Train
